# 전역 수치 상수 — src/shared/constants.ts 가 이 표를 읽는다 (K.num / K.bool).
# key 는 코드가 찾는 이름이므로 바꾸지 않는다. 고치는 것은 value 뿐이다.
key,value,note
SHIP_ROOM_COUNT,8,"기본 개인 함선의 방 수 (한 쪽에 절반씩). 2026-09-12 (사용자 결정): 10 → 8. 옛 세이브의 방 9 · 10 은 housing/ShipState 가 가구는 가구 창고로, 증축 재료는 함선 창고로 돌려주고 지운다. 조종석은 이 수에 들지 않는다 (COCKPIT_ROOM_INDEX)."
ROOM_GRID_COLS,16,"Room floor grid (cells) and cell size (m): 16 × 16 × 0.5 = an 8 × 8 m room. 2026-09-12 (사용자 결정): 8 → 16 — 작업대 가구(4×2) 네 개가 들어가지 않을 만큼 좁았다. 좌상단이 원점이라 기존 세이브의 가구 좌표는 전부 그대로 유효하다. hub/interiors/RoomLayout 의 SEGMENT · CORRIDOR 도 함께 늘어나야 방끼리 겹치지 않는다."
ROOM_GRID_ROWS,16,
HOUSING_CELL_SIZE,0.5,
GENERATOR_MAX_LEVEL,5,"발전기 최대 레벨. 2026-09-13 (사용자 결정 — 전력 할당 폐지): 10 → 5. 발전기는 시설 증축 조건(room_purposes.csv 의 generator)과 가구 · 창고 강화 게이트뿐이다. 옛 세이브의 Lv.6–10 은 환불 없이 이 값으로 내려간다."
GENERATOR_START_LEVEL,1,"새 함선의 발전기 레벨 (2026-09-13 — 가동하지 않아도 처음부터 이 레벨). 옛 세이브의 Lv.0 도 이 값으로 올라온다."
STORAGE_MAX_LEVEL,5,
WORKSHOP_MAX_LEVEL,3,"은퇴 (2026-09-12 — 방 시설 레벨 제거). 읽는 곳이 없다; 계약 상수라 줄만 남는다."
RANGE_MAX_LEVEL,5,"은퇴 (2026-09-12 — 방 시설 레벨 제거). 읽는 곳이 없다; 계약 상수라 줄만 남는다."
BENCH_MAX_LEVEL,3,"작업대(workbench_*) 강화 상한. 작업대가 아닌 가구(관물대 · 시뮬레이션 허브 …)는 furniture.csv 의 maxLevel 을 그대로 쓴다."
RANGE_SKILL_GAIN_PER_LEVEL,0.1,"은퇴 (2026-09-12 사용자 결정 — 시뮬레이션실 · 시뮬레이션 허브 제거). 사격 숙련 배율은 서재 책만 남는다. 읽는 곳이 없다; 계약 상수라 줄만 남는다."
WORKSHOP_COST_DISCOUNT_PER_LEVEL,0.1,"은퇴 (2026-09-12 — 작업실 레벨과 함께 제작 재료 할인이 폐지됐다). 읽는 곳이 없다."

# ── appended: Phase 7 — known follow-ups (2026-09-06) ──
RAID_FAILED_AUTO_RETURN_S,12,Result screen after a raid failure returns everyone to the ship by itself after this many seconds.
SEARCH_MAX_DISTANCE,4,Searching only runs while the container window is open and the player is within this many metres of it.
TRAINING_ARENA_SIZE,64,"Arena side (m), flat, walled; the player spawns at the south end facing the lanes."
TRAINING_TARGET_COUNT,12,"Pop-up targets: count, hp, seconds to pop back up after a knock-down."
# 2026-09-17 (사용자 결정): 플레이어가 적에게 주는 모든 피해 · 적 체력 1/3 (내림). 사격장 표적은 쏘기만 하는 것이라 체력도 ÷3 (60 → 20) — 표적을 쓰러뜨리는 발 수가 그대로다.
TRAINING_TARGET_HP,20,
TRAINING_TARGET_RESPAWN_S,3,
TRAINING_SKILL_GAIN_MUL,1,"Skill XP in a training: only `gun_*` skills rise, scaled by this on top of the 시뮬레이션 허브 bonus."
ROGUE_MAG_ROUNDS,12,"Rounds per magazine (3 bursts of ROGUE_BURST) and the reload pause (no shots, anim hint 12)."
ROGUE_RELOAD_TIME,2.0,
ROGUE_COVER_FLANK_WEIGHT,10,Cover must actually block the line of sight; candidates are scored by `distance + ROGUE_COVER_FLANK_WEIGHT × (1 − |sin(angle to the target's facing)|)`.
ROGUE_GRENADE_HOLD_S,3,Grenade toss when the target has been behind cover (no LOS) for this long; cooldown per rogue; fuse / damage / radius.
ROGUE_GRENADE_COOLDOWN,12,
ROGUE_GRENADE_FUSE,2.5,
ROGUE_GRENADE_DAMAGE,45,
ROGUE_GRENADE_RADIUS,4.5,
ROGUE_GRENADE_RANGE,28,
ROGUE_GRENADE_WINDUP,0.6,Seconds the throw pose plays before release (anim hint 13).
GHOST_BLEED_PER_SEC,1,"Bleed rate of a downed ghost (same as a live player: PLAYER_DOWN_BLEED_PER_SEC), kept here for the host loop."

# ── 온실 재배 (owner: housing rules, hub geometry, items seed data) ──
GROW_PLOTS_PER_RACK,4,Plots in one 재배층.
GROW_RACK_STACK_LIMIT,4,How many 재배층 may share one floor footprint (each on its own `PlacedFurniture.layer`).
GROW_RACK_LAYER_HEIGHT,0.8,Vertical spacing (m) between stacked 재배층 layers.
GROW_SKILL_SPEEDUP,0.35,Applied once when the seed goes in; `GrowPlot.readyAt` is then fixed so a later skill change never moves the timer.
SOIL_MATCH_SPEEDUP,0.3,"씨앗의 soilTag 와 부어 둔 토양의 태그가 같을 때 줄어드는 성장 시간 비율. 심는 순간 readyAt 에 확정된다."
SOIL_MISMATCH_PENALTY,0.2,"궁합이 맞지 않는 토양에 심었을 때 늘어나는 성장 시간 비율. 토양 없이 심는 경우는 없으므로 이 둘이 기준선이다."

# ── audio settings (owner: audio) ──
AUDIO_DEFAULT_MASTER,0.8,
AUDIO_DEFAULT_SFX,1,
AUDIO_DEFAULT_BGM,0.6,"BGM 채널 기본 음량 (2026-09-14 — 축음기 · 주크박스 · 턴테이블의 음악 재생 창이 이 값을 보여 준다)."

# ── ship doors + room lighting (owner: hub) ──
DOOR_OPEN_DISTANCE,3.2,A room / cockpit door slides open when the player is within this many metres of its threshold.
DOOR_SLIDE_SPEED,3.0,Door slide speed (fraction of full travel per second).
ROOM_LIGHT_POOL,3,"the pool is created once and re-anchored to the nearest non-empty rooms, with `intensity` ramped instead."
ROOM_LIGHT_INTENSITY,11,Point-light intensity / distance of a lit (non-empty) room.
ROOM_LIGHT_DISTANCE,7,
ROOM_STRIP_DIM,0.15,`emissiveIntensity` of a room's wall strips when the room is empty vs. assigned a purpose.
ROOM_STRIP_LIT,2.2,

# ── jump pad (owner: gadgets) ──
JUMP_PAD_RETRIGGER_S,2.5,A player who was just launched by a pad cannot be launched by the same pad again for this long (was a 0.7 s per-pad literal).

# ── 서재 책장 (owner: housing rules, hub geometry, items book data) ──
BOOKS_PER_SHELF,18,"Book slots per 책장 (2026-09-15 2차 사용자 결정: 3층 × 6칸 — 한 층이 한 줄이고 가운데 구분막을 사이에 두고 왼쪽 3 · 오른쪽 3. SHELF_TIERS.book 3 · SHELF_TIER_COLS.book 6 과 셋이 함께 움직인다. 40 → 18 로 줄었으므로 옛 세이브에서 18 번 칸 뒤에 꽂혀 있던 책은 ShipState.sanitize 가 함선 창고로 돌려준다)."
BOOK_XP_PER_BOOK,0.05,"Skill-XP multiplier bonus per shelved book, weighted by `BOOK_RARITY_MUL[rarity]`: mul = 1 + BOOK_XP_PER_BOOK × Σ weight."
BOOK_GAIN_MAX,2.0,Cap of the 서재 multiplier for one skill.

# ── 2026-09-12: 서재 매체 — 디스크 · 레코드 · 보조 가구 (A-3e; owner: housing rules, hub geometry, items data) ──
# 서재 배율 = 1 + 몫[책] + 몫[디스크] + 몫[레코드]. 몫[m] = min(GAIN_MAX[m] − 1, XP_PER[m] × Σ BOOK_RARITY_MUL) × (보조 가구가 있으면 1 + SHELF_AUX_BONUS_[m])
DISC_SLOTS_PER_STAND,12,디스크 전시대 한 대의 칸 수 (2026-09-14: 6 → 12).
RECORD_SLOTS_PER_RACK,8,레코드랙 한 대의 칸 수 (2026-09-14: 4 → 8).
DISC_XP_PER_ITEM,0.06,"디스크 한 장이 그 숙련의 몫에 더하는 값 (× BOOK_RARITY_MUL[등급]). 책(BOOK_XP_PER_BOOK)보다 약간 높다 — 사용자 명세."
RECORD_XP_PER_ITEM,0.07,"레코드 한 장이 그 숙련의 몫에 더하는 값. 디스크보다 약간 높다 — 사용자 명세."
DISC_GAIN_MAX,2.0,"디스크 몫의 상한 (1 + 몫 ≤ 이 값). 책 · 레코드 몫과는 따로 잘린 뒤 더해진다."
RECORD_GAIN_MAX,2.0,"레코드 몫의 상한 (1 + 몫 ≤ 이 값)."
SHELF_AUX_BONUS_BOOK,0.25,"흔들의자가 배치돼 있으면 책 몫 × (1 + 이 값). 상한으로 잘린 뒤에 곱한다 — 보조 가구는 상한을 넘기는 유일한 길이다."
SHELF_AUX_BONUS_DISC,0.25,"TV 가 배치돼 있으면 디스크 몫 × (1 + 이 값)."
SHELF_AUX_BONUS_RECORD,0.25,"축음기 · 주크박스 · 턴테이블 중 하나라도 배치돼 있으면 레코드 몫 × (1 + 이 값). 셋은 외형만 다른 한 역할이라 여러 대여도 한 번만 곱한다 — 사용자 결정."

# ── 2026-09-12: 헬스장 (A-3a; owner: progression rules, housing minigames, hub geometry) ──
GYM_SESSION_XP,560,"운동 · 비디오게임 한 세션 만점(점수 1)이 그 능력치의 **능력치 경험치 바**에 넣는 경험치. 실제 = round(이 값 × 점수). 2026-09-17: 단련 전용 바가 사라지고 능력치 경험치(STAT_XP_BASE × v^STAT_XP_EXPONENT, 기본 5 → 1118)와 같은 단위다 — 기본값 5 에서 만점 두 세션(= 이틀)에 단련 +1, 예전 속도와 같다. 기본값이 높을수록 바가 길어 느려진다."
GYM_TRAIN_XP_BASE,150,"2026-09-17 은퇴 — 읽는 코드 없음 (단련 전용 경험치 바가 능력치 경험치 바로 합쳐졌다). shared 상수는 추가 전용이라 줄을 남긴다."
GYM_TRAIN_XP_EXPONENT,1.4,"2026-09-17 은퇴 — 읽는 코드 없음 (GYM_TRAIN_XP_BASE 와 같다)."
GYM_TRAINED_MAX,5,"능력치 하나가 운동으로 얻는 단련 보너스 상한. 스탯 포인트 · 임플란트 보너스와 따로 센다."
GYM_FATIGUE_HOURS,24,"운동을 끝낸 능력치에 걸리는 디버프(근력 = 근육통 · 지구력 = 심폐 피로)의 현실 시간 — 사용자 명세."
GYM_FATIGUE_GAIN_MUL,0,"디버프 중 같은 능력치 운동의 상승 배율. 0 = −100 % (사용자 명세). 디버프를 다시 늘리지는 않는다."
GYM_LEAD_BEATS,4,"박자 게임(호흡 달리기 · 사이클링)의 예비 박자 수 — 첫 표식이 판정선까지 걸어오는 시간이고, 그동안의 입력은 무시한다."
GYM_SCORE_PERFECT,1,판정 한 번이 세션 점수(판정들의 평균)에 넣는 값 — 완벽.
GYM_SCORE_GOOD,0.6,판정 한 번이 세션 점수에 넣는 값 — 성공. 실패는 0.
GYM_PRESS_REPS,8,벤치프레스 한 세션의 판정 횟수.
GYM_PRESS_SPEED,0.75,"커서 속도 (바 폭/초) — 첫 회."
GYM_PRESS_SPEED_STEP,0.08,회차마다 더해지는 커서 속도.
GYM_PRESS_ZONE,0.18,"성공 구역 반폭 (바 폭 비율, 가운데 기준)."
GYM_PRESS_PERFECT,0.1125,"완벽 구역 반폭 (바 폭 비율)."
GYM_BREATH_CYCLES,5,"호흡 달리기 한 세션의 후-후-하 묶음 수 (판정 = 묶음 × 3)."
GYM_BREATH_BEAT_S,0.8,박자 간격(초).
GYM_BREATH_HOLD_S,1.2,「하」 를 누르고 있어야 하는 길이(초).
GYM_BREATH_WINDOW_S,0.18,"탭 · 「하」 시작의 판정 창(±초). 이 값의 1/3 안이면 완벽."
GYM_BREATH_HOLD_TOL_S,0.26,"「하」 를 떼는 순간의 판정 창(±초)."
GYM_CYCLE_STROKES,16,사이클링 한 세션에서 A · D 를 번갈아 밟는 횟수.
GYM_CYCLE_BEAT_S,0.65,박자 간격(초).
GYM_CYCLE_WINDOW_S,0.15,"판정 창(±초). 이 값의 1/3 안이면 완벽. 틀린 발은 실패."

# ── 2026-09-12: 캐릭터 버프 (owner: player 목록 · net 와이어 · ui 썸네일) ──
CHAR_BUFF_WIRE_MAX,12,"한 캐릭터의 버프 목록이 와이어에 실리는 최대 개수. 식사 1 + 준비물(환경당 1) + 환경 노출 1 + 운동 디버프 2 + 자세 1 이라 지금은 7 을 넘지 않는다 — 여유를 둔 상한이고 받는 쪽이 넘치는 것을 버린다."
CHAR_BUFF_SYNC_COOLDOWN_S,1,"스냅샷의 버프 리비전(bfr)이 가진 목록과 달라 cbufq sync 를 보낸 뒤 같은 사람에게 다시 묻기까지(초). 답하는 쪽도 요청자별로 이만큼 막는다."

# ── 시뮬레이션 훈련장 target modes (owner: world) ──
TRAINING_MOVING_SPAN,3.2,"이동 표적: sweep half-width (m, keeps the target inside its lane), speed (m/s) and the pause at each end."
TRAINING_MOVING_SPEED,2.2,
TRAINING_MOVING_PAUSE_S,0.5,
TRAINING_COURSE_TARGETS,10,"타임 코스: knock-downs needed, seconds allowed, cooldown before the next course can start."
TRAINING_COURSE_TIME_S,60,
TRAINING_COURSE_COOLDOWN_S,3,

# ── appended: Phase 10 — UI 개선 pass (2026-09-07) ──
IMPLANT_BARRIER_CARRY_WIDTH,3.2,strikes over this same width. Height unchanged.
IMPLANT_BARRIER_CARRY_HEIGHT,1.35,
IMPLANT_BARRIER_CARRY_OFFSET,0.7,the player capsule before the barrier query runs (`enemies/EnemySystem.fireGun`) and the shield never blocks.
IMPLANT_BARRIER_CARRY_BASE_Y,0.55,Height of the panel's bottom edge above the feet (`BarrierField.intersect` measures dy from `position.y`).
IMPLANT_BARRIER_CARRY_SPEED_MUL,0.78,"Movement multiplier while the shield is up (`player.setSpeedModifier('shield', …)`)."
IMPLANT_BARRIER_BLOCK_DAMAGE,30,Shield hp removed per blocked hostile projectile (was the module-local `BARRIER_BLOCK_DAMAGE`).
IMPLANT_BARRIER_CARRY_REGEN,40,"Regen per second while the shield is raised, after `IMPLANT_BARRIER_CARRY_REGEN_DELAY` without a hit."
IMPLANT_BARRIER_CARRY_REGEN_DELAY,3,

# ── 다각화된 적 사망 + 확률 루팅 (owner: enemies; the chance table is `CORPSE_LOOT_CHANCE` in types.ts) ──
DEATH_FALL_TIME,0.9,Seconds of `Enemy.deathTimer` over which the fall pose blends in (bugs and rogues).
CORPSE_FALL_MAX_SPEED,22,Terminal speed (m/s) of a body that died in the air and is still falling to the terrain.
CORPSE_LAND_TIMEOUT,2.5,"A mid-air kill registers its `corpse:<id>` interactable only once the body lands, or after this long."

# ── 컨테이너 실시간 동기화 연출 (owner: inventory grid view) ──
CONTAINER_TAKE_ANIM_S,0.22,"Length of the ""float up + fade out"" a container tile plays when someone else takes it (seconds)."
CONTAINER_TAKE_RISE_PX,14,"How far the vanishing tile floats up, in grid px, and the scale it ends at."
CONTAINER_TAKE_END_SCALE,0.9,

# ── 루팅 표시 = 빛기둥 (replaces the light-blue fresnel sphere of Detection / ScanReveal) ──
INTERACT_PILLAR_HEIGHT,2.6,"In-range interactable pillar: height (m), bottom / top radius (m), peak opacity at the base."
INTERACT_PILLAR_RADIUS_BOTTOM,0.3,
INTERACT_PILLAR_RADIUS_TOP,0.1,
INTERACT_PILLAR_OPACITY,0.28,
INTERACT_PILLAR_FADE,0.85,Vertical fraction at which the pillar has faded to nothing (1 = fades exactly at the top).
SCAN_PILLAR_HEIGHT,3.6,The scan-reveal (through-wall) pillar is taller so it still reads behind geometry.
PICKUP_PILLAR_HEIGHT,3.2,Per-pickup pillar (replaces the 5.5 m `PickupVisuals.BEAM_HEIGHT` beam).
PICKUP_PILLAR_OPACITY,0.22,

# ── 부상자 들쳐메기 (owner: player) ──
PLAYER_CARRY_RANGE,2.2,Max distance (m) at which an F tap can shoulder a downed squadmate.
PLAYER_CARRY_PICKUP_S,0.7,Pick-up / put-down animation length (s); the carrier's controls are locked for it.
PLAYER_CARRY_DROP_S,0.5,
PLAYER_CARRY_SPEED_MUL,0.75,Speed multiplier while carrying. Walking and sprinting are allowed; every other action drops the body first.

# ── 회복약 (was 스팀; the `stim` def id / `ItemCategory 'stim'` / `applyStim` are unchanged) ──
HEAL_HOLD_S,2,own `ItemDef.heal.useTime` (붕대 5 s · 약초 붕대 5 s · 회복주사 2 s) and the HUD reads the duration off the event.
HEAL_HOLD_CANCEL_ON_DAMAGE,false,Taking damage does not cancel the hold (moving never did). Kept as a constant so the HUD mirrors the rule.

# ── appended: 소모품 사용 (2026-09-07) ──
CONSUMABLE_SLOW_MUL,0.5,Movement speed multiplier while a consumable is being used / channelled (`PlayerRef.setSpeedModifier`).
DEFIB_USE_TIME_S,1,Seconds LMB must be held with a 제세동기 in hand before the revive fires.
HEAL_SPRAY_GAUGE,200,2026-09-08: 100 → 200; an empty can stays at 0 (repairable in the ship) instead of vanishing
HEAL_SPRAY_RADIUS,16,

# ── 발사 준비 패널 (owner: hub, portraits from player/) ──
HUB_READY_CELLS,4,Cells in the READY panel. Kept separate from the lobby size so the panel never resizes.
HUB_READY_PORTRAIT_YAW,-2.35619449,"발사 슬롯 초상의 몸 yaw (rad). 모델 정면은 −Z 이므로 yaw θ 의 정면은 (−sinθ, 0, −cosθ) 다. 카메라는 +Z 쪽에 있으므로 −3π/4 = (0.707, 0, 0.707) — 카메라 쪽을 보면서 화면 오른쪽으로 45° 튼 3/4 뷰다 (2026-09-14: 옛 −π/4 는 (0.707, 0, −0.707) 라 등을 반쯤 보였다)."
CREW_CARD_MIN_INTERVAL_S,1,Debounce for re-broadcasting my own `crew card` (seconds).
CREW_LOADOUT_COOLDOWN_S,2,Don't answer `crewq loadout` from the same peer more often than this (seconds).

# ── 마우스 커서 (owner: shared/cursor.ts + Input; the art is ui/hud/GameCursor) ──
GAME_CURSOR_SIZE,22,Side of the drawn cursor image in CSS px (a 2× copy is generated for HiDPI through `image-set`).
LOCK_GESTURE_RETRY_MS,10000,How long a denied pointer-lock request keeps waiting for the next real user gesture to retry (ms).
LOCK_BOUNCE_GRACE_MS,400,"A pointer lock that disappears within this long after our own request is the browser / desktop shell bouncing it back, not the player pressing Escape — no 일시정지 메뉴, wait for the next gesture instead (ms)."
LOCK_ESCAPE_DEFER_MS,180,"Escape 를 뗀 뒤 이만큼은 포인터 락을 다시 요청하지 않는다. 그 전에 요청하면 Chromium 이 락을 줬다가 같은 Escape 로 도로 가져가고(= 사용자 해제) 아래 쿨다운을 건다 (ms)."
LOCK_RELOCK_RETRIES,3,"타이밍 때문에 거부된(쿨다운 · 요청 과다) 포인터 락 요청을 스스로 다시 보내는 최대 횟수. 락을 잡거나 화면이 커서를 가져가면 다시 채워진다."
LOCK_USER_EXIT_COOLDOWN_MS,1350,"사용자가 Escape 로 포인터 락을 푼 뒤 Chromium 이 모든 재요청을 거부하는 시간(Electron 44 실측 ~1.25초). 이만큼 기다렸다가 다시 요청한다 — 클릭 · 키 같은 제스처로는 앞당겨지지 않는다 (ms)."

# ── 행성 이동 (owner: hub; the cutscene is `DockingCutscene` reused as a warp) ──
HUB_TRAVEL_DURATION,6,"Seconds of the 행성 이동 warp (2026-09-09: watched through the ship's viewports, no cutscene; ramp up → cruise → ramp down)."
HUB_TRAVEL_WARP_STRETCH,22,How far the warp stretches a star (multiplier on its own length at full `speed`).
HUB_WARP_RAMP_S,1.6,Seconds the warp takes to ramp up at the start and down at the end (`hub:warpProgress.speed`).
HUB_WARP_SHAKE_PEAK,0.14,`camera:shake` intensity at full warp speed (pulsed every HUB_WARP_SHAKE_INTERVAL_S and scaled by `speed`).
HUB_WARP_SHAKE_INTERVAL_S,0.18,Seconds between hull-shake pulses while the warp runs.

# ── 터미널 (owner: hub/ui/HubMenu — full-screen since Phase 11) ──
PLANET_HOLOGRAM_PX,360,Side of the square WebGL canvas the planet hologram renders into (device px are scaled by the DPR cap).
PLANET_HOLOGRAM_SPIN,0.24,Idle spin of the hologram sphere (rad/s) and the tilt it is seen at (rad).
PLANET_HOLOGRAM_TILT,0.28,
PLANET_SWAP_TIME,0.35,Seconds the hologram takes to swap planets when the player steps left / right.

# ── 소셜 UI (owner: ui) ──
SOCIAL_CARDS_PER_ROW,2,Profile cards per row in the 친구 / 최근 플레이어 lists (the spec's 가로 2개씩).
SOCIAL_FRIEND_ROWS,3.5,Rows the 친구 list and the 최근 플레이어 list show before they scroll (2 × 3.5 and 2 × 5.5 in the spec).
SOCIAL_RECENT_ROWS,5.5,
SQUAD_VOICE_DEFAULT,1,Squad voice sliders are UI-only in Phase 11 (no voice chat yet); this is their stored default.

# ── 임플란트(능력치 장착 아이템) 칸 (owner: progression) ──
IMPLANT_SLOTS_BASE,4,
IMPLANT_SLOTS_PER_LEVELS,5,+1 slot per this many character levels.
IMPLANT_SLOTS_MAX,10,

# ── 실드 배쉬 (owner: implants) ──
IMPLANT_SHIELD_BASH_STAMINA,25,Stamina spent per bash (same units as `PlayerRef.consumeStamina`).
IMPLANT_SHIELD_BASH_DAMAGE,18,"Base damage per enemy in the arc (× `derived.meleeDamageMul` only — no weapon / 개머리판 bonus). 2026-09-17 (1/3 개편, 내림): 55 → 18."
IMPLANT_SHIELD_BASH_RANGE,1.6,"Reach in front of the shield plane, metres. Width = the shield's own carry width."
IMPLANT_SHIELD_BASH_COOLDOWN,0.8,
IMPLANT_SHIELD_BASH_KNOCKBACK,6,Knockback impulse applied to each struck enemy (m/s along the shield forward).
IMPLANT_SHIELD_BASH_SWING_S,0.35,Seconds the bash pose / FX play.

# ── 정찰 rework (owner: implants) — one wide instant pulse ──
IMPLANT_SCAN_RADIUS,70,"Radius of the single pulse, metres."
IMPLANT_SCAN_REVEAL_TIME_V2,15,Seconds the reveal lasts (self + squad). Replaces `IMPLANT_SCAN_REVEAL_TIME` (10) for the new implant.
IMPLANT_SCAN_COOLDOWN_V2,30,

# ── 총알 추적 (owner: enemies) ──
ENEMY_SHOT_ALERT_DIST,6,"An enemy this close to the bullet path (metres, closest approach) reacts even without perceiving the shooter."
ENEMY_SHOT_IMPACT_DIST,10,… or this close to the impact point.
ENEMY_SHOT_ALERT_WATCH_S,3,Seconds the enemy faces the origin with a widened perception cone before it starts advancing.
ENEMY_SHOT_ALERT_CONE_MUL,2,Perception range multiplier toward the shot origin during the watch (and while advancing).
ENEMY_SHOT_ALERT_GIVE_UP_S,20,Give up the investigation after this many seconds without finding anyone (returns to the previous behaviour).

# ── ESC = 항상 일시정지 (2026-09-08) ──
COMMUNITY_TAP_MAX_S,0.3,"invite on screen there is nothing to hold for, so any release toggles."

# ── 공용 함선 격납고 (2026-09-08, owner: hub) ──
SHIP_VISIT_MIN_INTERVAL_S,4,"and costs a few kB, so it is slower than `CREW_CARD_MIN_INTERVAL_S` on purpose."
SHIP_VISIT_COOLDOWN_S,3,Don't answer `shipq state` from the same peer more often than this (seconds).
SHIP_VISIT_WAIT_S,5,Seconds a bay waits for a peer's `ship state` before the visit is refused with a toast.
SHIP_VISIT_MAX_FURNITURE,400,receiver truncates so a hostile document cannot make a visitor build thousands of colliders.

# ── 가젯 배치물의 나머지 수치 (2026-09-09: TS 리터럴에서 옮겨 왔다) ──
GADGET_BARRICADE_RADIUS,2.4,바리케이드가 차지하는 반경(m)
GADGET_LURE_HP,140,유인 수류탄 비콘 내구도
GADGET_MINE_HP,20,"지뢰 내구도 (쏘면 터진다). 2026-09-17: 총 피해 1/3 에 맞춰 60 → 20 — 쏴서 터뜨리는 발 수가 그대로다."
GADGET_DEFIB_RANGE,5,제세동기가 닿는 거리(m)
GADGET_JUMPPAD_HP,150,점프대 내구도
GADGET_JUMPPAD_RADIUS,1.7,점프대 발동 반경(m)

# ── 캐릭터 슬롯 · 생성 (2026-09-09, owner: shared/saveSlot · shared/character) ──
TUTORIAL_STEP_DELAY_S,0.5,"튜토리얼 단계가 넘어간 뒤 스포트라이트 · 안내가 뜨기까지 기다리는 시간 (2026-09-09) — 새 화면이 먼저 보이고 그 뒤에 포커싱된다."
TUTORIAL_DIM_FADE_S,0.5,스포트라이트 어두운 판이 서서히 어두워지는 시간 (s).
CHARACTER_SLOTS,3,타이틀 캐릭터 선택창의 칸 수. 슬롯마다 세이브가 완전히 분리된다 (`scav.s<n>.*`).
CHAR_STAT_MIN,1,캐릭터 생성창에서 한 능력치가 가질 수 있는 최소값.
CHAR_STAT_MAX,5,캐릭터 생성창에서 한 능력치가 가질 수 있는 최대값 (성장 상한 STAT_MAX 와는 별개).
CHAR_STAT_TOTAL,15,캐릭터 생성창에서 다섯 능력치의 합. 전부 CHAR_STAT_MIN 에서 시작하므로 남는 배분 점수는 이 값 − 5 × CHAR_STAT_MIN.
CHAR_NAME_RANDOM_MAX,9999,이름 주사위가 붙이는 숫자의 상한 (스캐빈저1234).

# ── 위험한 버튼의 홀드 확정 (2026-09-09, owner: ui) ──
UI_HOLD_CONFIRM_S,1,파티 떠나기 · 타이틀로 · 게임 종료 확정 버튼을 눌러 두어야 하는 시간(초).
HOUSING_MOVE_HOLD_S,0.5,"시설 관리에서 가구를 꾹 눌러 위치 이동 상태로 드는 시간(초). 2026-09-12 사용자 결정 — 짧은 클릭(선택)과 구분되면서 답답하지 않은 길이."
MESSENGER_CHOICE_DELAY_S,0.5,"2026-09-17 사용자 결정: 메신저에서 NPC 의 마지막 말풍선이 (타이핑 연출을 거쳐) 붙은 뒤 내 대답 선택지가 뜨기까지 기다리는 시간(초). 이미 읽은 대화를 다시 열 때는 기다리지 않는다."

# ── 사망 · 시체 · 구조선 (2026-09-09, owner: game · player · inventory · stratagems) ──
PLAYER_CORPSE_LOOT_RANGE,2.4,사망한 플레이어의 시체를 열 수 있는 거리(m).
PLAYER_CORPSE_COLS,10,시체 루팅 격자의 가로 칸 수 — 사망 시점의 장비 + 가방 전부가 들어가야 한다.
PLAYER_CORPSE_ROWS,8,시체 루팅 격자의 세로 칸 수.
RESCUE_DROPS_PER_RAID,5,레이드 한 판에 분대가 공용으로 쓸 수 있는 구조선 투하 횟수 (호출 확정 시 1 차감).
RESCUE_SCATTER_RADIUS,9,지정 지점 주변 이 반경(m) 안의 임의 지점에 구조 포드가 떨어진다.
RESCUE_POD_MIN_GAP,4,동시에 떨어지는 포드끼리 최소 이만큼(m) 떨어뜨린다 (겹침 방지).
RESCUE_REVIVE_HP,60,구조선으로 부활한 분대원이 시작하는 체력.
LEADER_DEVICE_HOLD_S,3,분대장 기기를 상호작용으로 꾹 눌러야 하는 시간(초).
LEADER_DEVICE_RANGE,2.2,분대장 기기 상호작용 거리(m).

# ── 전장의 안개 (2026-09-09, owner: world) ──
FOG_CELL_M,8,안개 그리드 한 칸의 한 변(m). MAP_SIZE / FOG_CELL_M 이 격자 해상도가 된다.
FOG_REVEAL_RADIUS,55,분대원 한 명이 자기 주위로 밝히는 반경(m).
FOG_UPDATE_HZ,5,안개 그리드를 다시 칠하는 빈도(회/초).

# ── 대형 적 스폰 여유 공간 (2026-09-09, owner: enemies) ──
ENEMY_BIG_RADIUS,0.9,이 반경(m) 이상인 적은 구조물이 빽빽한 곳에 스폰하지 않는다.
ENEMY_SPAWN_CLEARANCE_MUL,3,대형 적이 검사하는 원의 반경 = 자기 반경 × 이 값.
ENEMY_SPAWN_BLOCK_RATIO,0.25,검사 원 안의 장애물 점유 면적이 이 비율을 넘으면 그 지점을 버린다.
ENEMY_SPAWN_RETRIES,12,버려진 지점을 다시 뽑는 최대 횟수.

# ── 지형지물 위에 올라서기 (2026-09-09, owner: world) ──
PROP_STEP_UP_MAX,0.9,걷다가 그냥 올라설 수 있는 장애물 윗면의 높이 차(m). 이보다 높으면 벽처럼 막힌다.
PROP_TOP_MARGIN,0.15,장애물 윗면 판정에 쓰는 여유(m) — 가장자리에서 미끄러져 떨어지지 않게 한다.

# ── 핑 v3 (2026-09-09, owner: ui/hud/Pings) ──
PING_MAX_PER_PLAYER,3,한 플레이어가 동시에 유지하는 핑 수(나도 분대원도). 넘치면 그 사람의 가장 오래된 핑이 사라진다.
PING_AIM_ASSIST_PX,56,핑 조준 보정 — 조준점에서 이 화면 거리(px) 안에 보이는 적 · 아이템 · 상자 · 분대 핑이면 정확히 맞추지 않아도 그것을 찍는다.

